,word,count
0,cheese,24
1,dip,12
2,free,7
3,vegan,6
4,dairy,5
5,cream,5
6,feta,4
7,cashew,4
8,dips,3
9,lactose,3
10,veggie,3
11,low,2
12,hummus,2
13,queso,2
14,shredded,2
15,spreads,2
16,french,1
17,block,1
18,fruit,1
19,onion,1
20,fancy,1
21,best,1
22,goat,1
23,crumbles,1
24,goats,1
25,sabra,1
26,kraft,1
27,calorie,1
28,mexican,1
29,old,1
30,dutch,1
31,other,1
32,salsa,1
33,hard,1
34,chesse,1
35,cottage,1
36,strings,1
37,spread,1
38,butter,1
39,spinach,1
40,hella,1
41,good,1
42,chip,1
43,lite,1
44,fat,1
45,nacho,1
46,navho,1
47,non,1
48,philadelphia,1
49,plant,1
50,based,1
51,tofutti,1
52,herb,1
53,cheesw,1
54,cheddar,1
55,spreader,1
56,turtles,1
